"meanfreq","sd","median","Q25","Q75","IQR","skew","kurt","sp.ent","sfm","mode","centroid","meanfun","minfun","maxfun","meandom","mindom","maxdom","dfrange","modindx","label"
0.223046381702133,0.055078087848575,0.249396984924623,0.162629815745394,0.269212730318258,0.106582914572864,2.84136586106947,12.1186989062892,0.868827359117404,0.185069064880455,0.269329983249581,0.223046381702133,0.127327201838483,0.0470588235294118,0.277456647398844,0.515625,0.1640625,4.453125,4.2890625,0.0451260356072625,"male"
0.216418387716167,0.0430393594928607,0.228960817717206,0.200658716638274,0.242952867688813,0.0422941510505395,2.39248170295724,9.52446012769676,0.886223868276689,0.207919205015437,0.233730834752981,0.216418387716167,0.124930802406247,0.048048048048048,0.27906976744186,0.448943661971831,0,1.7578125,1.7578125,0.133333333333333,"male"
0.217115938308992,0.0567932479061966,0.244234033050469,0.159821348816436,0.270245645377401,0.110424296560965,3.27530849894566,16.4724414649995,0.866511520973916,0.192230564794908,0.270245645377401,0.217115938308992,0.126472221173804,0.0470127326150832,0.268156424581006,0.715198863636364,0.1640625,3.7734375,3.609375,0.0751318993506493,"male"
0.233546347775099,0.0282738092306725,0.23308841340331,0.217036737989503,0.256939846588615,0.0399031085991118,2.78397260574937,13.3182150984212,0.844745606398751,0.0959202435822067,0.221671376665321,0.233546347775099,0.167298149694383,0.0470127326150832,0.277456647398844,0.385454136690647,0,5.0625,5.0625,0.0403338945005612,"female"
0.233146905520198,0.0305914788682681,0.232642942822871,0.216745301879248,0.258728508596561,0.0419832067173131,2.01453510649912,6.95283675530872,0.860289805404482,0.101058546773397,0.2215593762495,0.233146905520198,0.160906910228505,0.0471050049067713,0.27906976744186,0.464334239130435,0,3.234375,3.234375,0.0685009057971015,"female"
0.238835743202906,0.0310063344599165,0.248010043942247,0.230433145009416,0.257325800376648,0.0268926553672317,3.38109260191177,15.8440692923706,0.823972144763615,0.124422445505002,0.258028876333961,0.238835743202906,0.138722485108373,0.0469667318982388,0.27906976744186,0.432397959183673,0,1.4765625,1.4765625,0.0806741940762559,"female"
0.216318613560591,0.0266888275605969,0.218572501878287,0.201532682193839,0.229932381667919,0.0283996994740797,2.32238728660244,7.7250212344546,0.834931144067258,0.111548450966944,0.228039068369647,0.216318613560591,0.147932639347091,0.047244094488189,0.27906976744186,0.606594279661017,0,1.875,1.875,0.151415094339623,"female"
0.251478731507754,0.0264093908119243,0.254566473988439,0.246473988439306,0.266127167630058,0.0196531791907514,2.84490908833265,10.9924939434484,0.785357964727929,0.092093287191468,0.249017341040462,0.251478731507754,0.145062698544333,0.0479041916167665,0.271186440677966,0.44203125,0,1.828125,1.828125,0.117948717948718,"female"
0.230940727491969,0.0271521012673867,0.230339622641509,0.217660377358491,0.247245283018868,0.0295849056603774,2.40035946984576,8.95644265316856,0.83211040649058,0.10324304208992,0.240694339622642,0.230940727491969,0.148979107334279,0.0475247524752475,0.275862068965517,0.476714199029126,0,1.96875,1.96875,0.105442176870748,"female"
0.212902068577699,0.032935721543649,0.215509025270758,0.192563176895307,0.237646209386282,0.0450830324909747,2.05916742606481,7.90020757558465,0.880851803423723,0.165987901019219,0.216823104693141,0.212902068577699,0.166088961407305,0.0472906403940887,0.27906976744186,0.609375,0,11.5546875,11.5546875,0.019526707234618,"female"
0.220575760884508,0.0279629499762455,0.219162303664921,0.210977312390925,0.237364746945899,0.0263874345549738,3.5965741589125,19.8779098976556,0.845756711150259,0.114875092864187,0.217329842931937,0.220575760884508,0.164022202289558,0.0470588235294118,0.27906976744186,0.515043904958678,0,3.75,3.75,0.0679545454545454,"female"
